provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_bayes_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,n_bands,baseline_hr,bands_used
2025 MF71,2026-03-20T14:31:06.991641+00:00,True,1.8519259629814908,0.25075306190291485,3.7586054490572387,53,,False,True,5.13887962654218,5.13887962654218,4.5806975871984,5.13887962654218,8.200335876303908,4.007390626326046e-05,0.7103764298718181,False,0.10861940343196128,True,False,True,5.13887962654218,3.915807034407729,5.132043987303943,5.145715265780417,0.013671278476474313,1.644103838354899,,,followup_needed,2,144.31444444460794,"Lg,Li,Lr"
2025 MZ71,2026-03-20T14:31:11.845407+00:00,True,10.457228614307153,0.5330832897344226,8.261683548220844,53,,False,True,14.502834278092697,14.424474824941646,10.44174271783973,14.424474824941646,16.618403324271174,1.3034983092907737e-08,1.065757177720489,False,0.27610933191238396,True,False,True,14.424474824941646,17.38399934872382,14.40758625227361,14.441363397609681,0.0337771453360709,1.1954427834659036,,,followup_needed,3,216.73750000004657,"Lg,Li,Lr"
2011 AY30,2026-03-20T14:31:15.136663+00:00,True,0.5822911455727864,0.1760475836113349,7.517699767911511,50,,False,False,0.6018672890963654,2.4418139379793264,0.5851981497687211,0.6018672890963654,3.0401886757440084,0.026608225074676084,0.13080797596166027,False,3.0570637119062782,False,,,,,,,,,,,,3,914.1774999999907,"Li,Lr,Lz"
2025 ND164,2026-03-20T14:31:18.294433+00:00,True,0.5117558779389695,0.14023377723630578,8.232580078134601,47,,False,False,1.1503834611537178,1.2820940313437812,1.4136767095886986,1.2820940313437812,3.1369553651723785,0.024078548319063864,0.3235403970706898,False,0.10273081924569362,False,,,,,,,,,,,,3,365.6991666665417,"Lg,Li,Lr,Lz"
2025 MP25,2026-03-20T14:31:18.391013+00:00,True,1.1700850425212606,0.22030970208278705,4.684236110960027,53,,False,False,2.051517172390797,2.2317439146382125,2.897299662457807,2.2317439146382125,5.234731960592518,0.001396922913432519,0.7401093055316843,False,0.2982222751695906,False,,,,,,,,,,,,3,51.149722222122364,"Lg,Li,Lr"
2025 MU35,2026-03-20T14:31:18.679951+00:00,False,,0.0,2.898822866754371,50,SNR=2.90 < threshold=3.0,,,,,,,,,,,,False,,,,,,,,,,,,3,144.45777777774492,"Lg,Li,Lr"
2025 ML307,2026-03-20T14:31:19.742772+00:00,False,17.38144072036018,0.02880682494328567,18.774609339072764,51,GLS power=0.029 too low — no periodic signal,,,,,,,,,,,,False,,,,,,,,,,,,3,365.126111111138,"Li,Lr,Lz"
2013 CO53,2026-03-20T14:31:23.782026+00:00,True,0.6998499249624812,0.11319607304798997,5.2410856919703095,45,,False,True,0.8056018672890963,1.6112037345781927,0.7732216527065883,1.6112037345781927,1.7850418332285554,0.1508727404765895,0.1996853648640688,False,0.04187701478501447,True,False,True,1.6112037345781927,0.6237493733539434,1.6098797983141855,1.6125276708421998,0.002647872528014461,1.4682744433009007,,,followup_needed,2,309.80083333316725,"Lg,Li,Lr,Lz"
2014 QW575,2026-03-20T14:31:22.465695+00:00,True,1.499249624812406,0.17686360596918832,5.222653129762788,52,,False,True,0.7507502500833612,0.7507502500833612,1.4401175146893361,0.7507502500833612,6.948693357449403,0.00017642846613608043,0.7363940912965532,False,0.9182378088165957,True,False,True,0.7507502500833612,0.603613244548629,0.7478603821609078,0.7536401180058145,0.005779735844906764,1.844621307141047,,,followup_needed,3,50.86805555562023,"Lg,Li,Lr"
2013 JD31,2026-03-20T14:31:27.611683+00:00,True,6.095797898949475,0.6853146242014531,13.868068259991711,52,,False,True,1.2052350783594532,16.054351450483495,4.2957244655581945,4.2957244655581945,45.69107495744121,1.2212453270876722e-15,0.21911547850786905,False,2.7372861269850146,True,False,True,16.054351450483495,0.9770868996465936,16.045731267609465,16.062971633357524,0.01724036574805954,4.764499733420741,,,followup_needed,3,287.50555555557366,"Lg,Li,Lr"
